project_id,ICR_outratingind,ICR_completion_riskdo,ICR_overallrating,ICR_bankqualityentry,ICR_banksupervision,ICR_borroverall,ICR_borrgovt,ICR_borrimplegency,IEG_outcome,IEG_evaluation_riskdo,IEG_bankqualityatentry,IEG_bankqualityofsupervision,IEG_overallbankperf,IEG_overallborrowperf,IEG_borrowcompliance,IEG_borrowimplementation,IEG_icrquality,IEG_mequality
P108143,Moderately Satisfactory,NIL,Moderately Satisfactory,,,,,,,NIL,,,,,,,,NIL
P104743,Moderately Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Highly Satisfactory,MODERATELY SATISFACTORY,MODERATE,SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,SATISFACTORY,SUBSTANTIAL,SUBSTANTIAL
P099840,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,LOW,SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SUBSTANTIAL,SUBSTANTIAL
P110602,,NIL,,,,,,,,NIL,,,,,,,,NIL
P113159,,NIL,,,,,,,,NIL,,,,,,,,NIL
P108757,,NIL,,,,,,,,NIL,,,,,,,,NIL
P106872,Moderately Satisfactory,NIL,Moderately Satisfactory,,,,,,,NIL,,,,,,,,NIL
P098151,Satisfactory,NIL,Satisfactory,,,,,,,NIL,,,,,,,,NIL
P103022,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,MODERATE,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P118988,,NIL,,,,,,,,NIL,,,,,,,,NIL
P103238,Highly Satisfactory,NIL,Highly Satisfactory,,,,,,,NIL,,,,,,,,NIL
P114271,,NIL,,,,,,,NOT RATED,NON-EVALUABLE,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY UNSATISFACTORY,SATISFACTORY,NEGLIGIBLE
P107772,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,MODERATE,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,HIGH,SUBSTANTIAL
P102119,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,,NIL,,,,,,,,NIL
P116926,,NIL,,,,,,,,NIL,,,,,,,,NIL
P111863,,NIL,,,,,,,,NIL,,,,,,,,NIL
P116475,,NIL,,,,,,,,NIL,,,,,,,,NIL
P111150,,NIL,,,,,,,,NIL,,,,,,,,NIL
P110458,,NIL,,,,,,,,NIL,,,,,,,,NIL
P109196,,NIL,,,,,,,,NIL,,,,,,,,NIL
P113495,,NIL,,,,,,,,NIL,,,,,,,,NIL
P115173,Satisfactory,NIL,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,NEGLIGIBLE TO LOW,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P116923,Highly Unsatisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Highly Unsatisfactory,Highly Unsatisfactory,Highly Unsatisfactory,HIGHLY UNSATISFACTORY,HIGH,UNSATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,HIGHLY UNSATISFACTORY,HIGHLY UNSATISFACTORY,HIGHLY UNSATISFACTORY,SATISFACTORY,NEGLIGIBLE
P113099,Satisfactory,NIL,Highly Satisfactory,,,,,,,NIL,,,,,,,,NIL
P110173,,NIL,,,,,,,,NIL,,,,,,,,NIL
P112368,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,,MODERATELY SATISFACTORY,HIGH,MODERATELY SATISFACTORY,NOT APPLICABLE,MODERATELY SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,NOT APPLICABLE,UNSATISFACTORY,MODEST
P106963,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,SATISFACTORY,SIGNIFICANT,SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P127437,,NIL,,,,,,,,NIL,,,,,,,,NIL
P114838,,NIL,,,,,,,,NIL,,,,,,,,NIL
P115178,,NIL,,,,,,,,NIL,,,,,,,,NIL
P106834,Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,NIL,,,,,,,,NIL
P113337,Moderately Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,MODERATELY SATISFACTORY,HIGH,SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,MODEST
P112544,Moderately Satisfactory,NIL,Moderately Satisfactory,Moderately Satisfactory,Moderately Unsatisfactory,Moderately Satisfactory,,,MODERATELY SATISFACTORY,MODERATE,MODERATELY SATISFACTORY,MODERATELY UNSATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,MODERATELY SATISFACTORY,NOT APPLICABLE,SATISFACTORY,MODEST
P101177,Satisfactory,NIL,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,Highly Satisfactory,,NIL,,,,,,,,NIL
P106200,,NIL,,,,,,,,NIL,,,,,,,,NIL
P131548,,NIL,,,,,,,,NIL,,,,,,,,NIL
P115460,,NIL,,,,,,,,NIL,,,,,,,,NIL
P110593,,NIL,,,,,,,,NIL,,,,,,,,NIL
P114365,,NIL,,,,,,,,NIL,,,,,,,,NIL
P107559,Highly Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Highly Satisfactory,Satisfactory,,NIL,,,,,,,,NIL
P117263,,NIL,,,,,,,,NIL,,,,,,,,NIL
P109437,,NIL,,,,,,,,NIL,,,,,,,,NIL
P107843,Unsatisfactory,NIL,Moderately Unsatisfactory,Moderately Unsatisfactory,Unsatisfactory,Highly Unsatisfactory,Moderately Unsatisfactory,Highly Unsatisfactory,HIGHLY UNSATISFACTORY,SIGNIFICANT,UNSATISFACTORY,UNSATISFACTORY,UNSATISFACTORY,HIGHLY UNSATISFACTORY,UNSATISFACTORY,HIGHLY UNSATISFACTORY,SATISFACTORY,NEGLIGIBLE
P113176,Moderately Satisfactory,NIL,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,MODERATELY SATISFACTORY,SIGNIFICANT,SATISFACTORY,SATISFACTORY,SATISFACTORY,SATISFACTORY,MODERATELY SATISFACTORY,SATISFACTORY,SATISFACTORY,SUBSTANTIAL
P099270,,NIL,,,,,,,,NIL,,,,,,,,NIL
P110267,Moderately Satisfactory,NIL,Satisfactory,Moderately Satisfactory,Satisfactory,Moderately Satisfactory,Moderately Satisfactory,Moderately Satisfactory,,NIL,,,,,,,,NIL
